period,application_name,b_2_b_transactions_value_cr,b_2_b_transactions_volume_mn,b_2_c_transactions_value_cr,b_2_c_transactions_volume_mn,customer_initiated_transactions_value_cr,customer_initiated_transactions_volume_mn,onus_transactions_value_cr,onus_transactions_volume_mn,total_value_cr,total_volume_mn,upi_application_name,upi_value_cr,upi_volume_mn
2021-12,IndusInd Bank App,,,,,1269.16,1.19,,,1269.16,1.19,,,
2021-12,Jammu and Kashmir Bank App,,,,,1.93,0.01,,,1.93,0.01,,,
2021-12,Janta Sahakari Bank App,,,,,4.48,0.01,,,4.48,0.01,,,
2021-12,Jio Payments Bank App,,,,,100.19,1.65,,,100.19,1.65,,,
2021-12,Jupiter Money,,,,,177.92,0.98,,,177.92,0.98,,,
2021-12,Karnataka Bank App,,,,,30.03,0.25,,,30.03,0.25,,,
2021-12,Karur Vysya Bank App,,,,,17.44,0.04,,,17.44,0.04,,,
2021-12,Kotak Mahindra Bank Apps,,,,,1168.93,6.39,,,1168.93,6.39,,,
2021-12,MakeMy Trip,,,,,22.3,0.07,,,22.3,0.07,,,
2021-12,MI Pay,,,,,43.97,0.31,,,43.97,0.31,,,
2021-12,Mobikwik,,,,,985.86,4.24,,,985.86,4.24,,,
2021-12,NSDL Payments Bank App,,,,,1.31,0.01,,,1.31,0.01,,,
2021-12,Paytm Payments Bank App,,,11.62,7.99,71874.13,612.71,16208.74,85.67,88094.49,706.37,,,
2021-12,PhonePe,,,,,394565.58,2077.6,,,394565.58,2077.6,,,
2021-12,Punjab National Bank App,,,,,33.76,0.07,,,33.76,0.07,,,
2021-12,RBL Bank App,,,,,102.17,0.35,,,102.17,0.35,,,
2021-12,Samsung Pay,,,,,436.3,3.21,,,436.3,3.21,,,
2021-12,South Indian Bank App,,,,,39.92,0.13,,,39.92,0.13,,,
2021-12,Standard Chartered Bank App,,,,,60.26,0.1,,,60.26,0.1,,,
2021-12,State Bank of India Apps,0.02,,,,1961.7,3.63,,,1961.72,3.63,,,
2021-12,UCO Bank App,,,,,33.49,0.14,,,33.49,0.14,,,
2021-12,Ultracash,,,,,178.99,1.96,,,178.99,1.96,,,
2021-12,Union Bank Apps,,,,,167.6,0.36,,,167.6,0.36,,,
2021-12,WhatsApp,,,,,188.78,2.25,,,188.78,2.25,,,
2021-12,Yes Bank Apps,,,0.17,0.26,5689.57,24.88,,,5689.75,25.14,,,
2021-12,YuvaPay,,,,,78.43,0.05,,,78.43,0.05,,,
2021-12,Others,,,,,8.74,0.02,,,8.74,0.02,,,
2022-01,Airtel Payments Bank Apps,,,,,2047.45,8.53,2682.32,4.69,4729.77,13.22,,,
2022-01,Allahabad Bank App,,,,,7.36,0.02,,,7.36,0.02,,,
2022-01,Amazon Pay,,,,,6729.66,73.5,,,6729.66,73.5,,,
2022-01,AU Small Finance Bank App,,,,,81.15,0.23,,,81.15,0.23,,,
2022-01,Axis Bank Apps,,,34.25,40.47,1058.77,6.78,,,1093.02,47.25,,,
2022-01,Bajaj Finserv,,,,,12.88,0.24,,,12.88,0.24,,,
2022-01,Bank of Baroda Apps,,,,,342.85,0.71,,,342.85,0.71,,,
2022-01,Bank of India App,,,,,20.23,0.05,,,20.23,0.05,,,
2022-01,Bank of Maharashtra App,,,,,12.46,0.05,,,12.46,0.05,,,
2022-01,BHIM,,,,,8511.91,25.82,,,8511.91,25.82,,,
2022-01,Canara Bank App,,,,,98.95,0.26,,,98.95,0.26,,,
2022-01,Central Bank of India App,,,,,47.33,0.13,,,47.33,0.13,,,
2022-01,Citi Bank App,,,,,77.8,0.09,,,77.8,0.09,,,
2022-01,City Union Bank App,,,,,4.92,0.02,,,4.92,0.02,,,
2022-01,Cointab,,,,,179.22,1.21,,,179.22,1.21,,,
2022-01,Cred,,,,,14189.86,10.68,,,14189.86,10.68,,,
2022-01,DBS Digibank App,,,,,186.79,0.51,,,186.79,0.51,,,
2022-01,Dena Bank App,,,,,26.5,0.02,,,26.5,0.02,,,
2022-01,Deutsche Bank App,0.13,,,,61.95,0.92,,,62.08,0.92,,,
2022-01,Dhanlaxmi Bank App,,,,,2.95,0.01,,,2.95,0.01,,,
2022-01,Federal Bank App,,,,,109.25,0.54,,,109.25,0.54,,,
2022-01,Fino Payments bank App,,,,,2.79,0.03,,,2.79,0.03,,,
2022-01,Finshell Pay,,,,,3.69,0.07,,,3.69,0.07,,,
2022-01,Google Pay,,,,,298267.07,1584.2,,,nan,1584.2,,,
2022-01,HDFC Bank Apps,,,,,1366.89,4.94,,,1366.89,4.94,,,
2022-01,HSBC Bank App,,,0.09,,54.47,0.08,,,54.57,0.08,,,
2022-01,ICICI Bank Apps,,,215.87,3.57,8491.18,29.87,,,8707.05,33.43,,,
2022-01,IDBI Bank App,,,,,12.54,0.02,,,12.54,0.02,,,
2022-01,IDFC Bank App,,,,,316.37,1.22,,,316.37,1.22,,,
2022-01,India Post Payments Bank App,,,,,309.42,2.65,,,309.42,2.65,,,
2022-01,Indian Bank App,,,,,47.42,0.13,,,47.42,0.13,,,
2022-01,IndusInd Bank App,,,,,1218.79,0.74,,,1218.79,0.74,,,
2022-01,Jammu and Kashmir Bank App,,,,,2.47,0.01,,,2.47,0.01,,,
2022-01,Janta Sahakari Bank App,,,,,4.46,0.01,,,4.46,0.01,,,
2022-01,Jio Payments Bank App,,,,,114.39,2.05,,,114.39,2.05,,,
2022-01,Jupiter Money,,,,,156.15,1.02,,,156.15,1.02,,,
2022-01,Karnataka Bank App,,,,,31.19,0.25,,,31.19,0.25,,,
2022-01,Karur Vysya Bank App,,,,,17.37,0.04,,,17.37,0.04,,,
2022-01,Kotak Mahindra Bank Apps,,,,,1333.06,6.88,,,1333.06,6.88,,,
2022-01,MakeMy Trip,,,,,19.63,0.06,,,19.63,0.06,,,
2022-01,MI Pay,,,,,40.51,0.27,,,40.51,0.27,,,
2022-01,Mobikwik,,,,,886.55,3.87,,,886.55,3.87,,,
2022-01,NSDL Payments Bank App,,,,,1.45,0.02,,,1.45,0.02,,,
2022-01,Paytm Payments Bank App,,,13.36,8.0,70892.01,615.9,14220.6,86.38,85125.97,710.28,,,
2022-01,PhonePe,,,,,405173.78,2140.28,,,nan,2140.28,,,
2022-01,Punjab National Bank App,,,,,44.86,0.09,,,44.86,0.09,,,
2022-01,Punjab Sindh Bank App,,,,,2.87,0.01,,,2.87,0.01,,,
2022-01,RBL Bank App,,0.01,,,101.45,0.42,,,101.45,0.43,,,
2022-01,Samsung Pay,,,,,431.07,3.17,,,431.07,3.17,,,
2022-01,South Indian Bank App,,,,,41.4,0.13,,,41.4,0.13,,,
2022-01,Standard Chartered Bank App,,,,,60.49,0.11,,,60.49,0.11,,,
2022-01,State Bank of India Apps,0.01,,,,1967.04,3.62,,,1967.05,3.62,,,
2022-01,UCO Bank App,,,,,37.26,0.16,,,37.26,0.16,,,
2022-01,Ultracash,,,,,177.63,2.14,,,177.63,2.14,,,
2022-01,Union Bank Apps,,,,,182.27,0.39,,,182.27,0.39,,,
2022-01,WhatsApp,,,,,205.83,2.34,,,205.83,2.34,,,
2022-01,Yes Bank Apps,,,0.2,0.35,5816.96,27.24,,,5817.16,27.59,,,
2022-01,YuvaPay,,,,,77.12,0.05,,,77.12,0.05,,,
2022-01,Others,,,,,9.08,0.02,,,9.08,0.02,,,
2022-02,Airtel Payments Bank Apps,,,,,1199.46,5.8,1010.71,1.77,2210.17,7.58,,,
2022-02,Allahabad Bank App,,,,,6.28,0.02,,,6.28,0.02,,,
2022-02,Amazon Pay,,,,,6044.47,63.49,,,6044.47,63.49,,,
2022-02,AU Small Finance Bank App,,,,,89.36,0.25,,,89.36,0.25,,,
2022-02,Axis Bank Apps,,,38.91,47.88,1366.34,6.9,,,1405.26,54.78,,,
2022-02,Bajaj Finserv,,,,,19.32,0.33,,,19.32,0.33,,,
2022-02,Bank of Baroda Apps,,,,,330.69,0.67,,,330.69,0.67,,,
2022-02,Bank of India App,,,,,21.28,0.05,,,21.28,0.05,,,
2022-02,Bank of Maharashtra App,,,,,12.49,0.05,,,12.49,0.05,,,
2022-02,BHIM,,,,,7891.86,23.25,,,7891.86,23.25,,,
2022-02,Canara Bank App,,,,,95.78,0.26,,,95.78,0.26,,,
2022-02,Central Bank of India App,,,,,45.26,0.12,,,45.26,0.12,,,
2022-02,Citi Bank App,,,,,69.22,0.08,,,69.22,0.08,,,
2022-02,City Union Bank App,,,,,5.49,0.02,,,5.49,0.02,,,
2022-02,Cointab,,,,,280.57,1.73,,,280.57,1.73,,,
2022-02,Cred,,,,,13364.09,10.08,,,13364.09,10.08,,,
2022-02,DBS Digibank App,,,,,173.63,0.46,,,173.63,0.46,,,
2022-02,Dena Bank App,,,,,23.93,0.02,,,23.93,0.02,,,
2022-02,Deutsche Bank App,,,,,70.43,0.87,,,70.43,0.87,,,
2022-02,Dhanlaxmi Bank App,,,,,2.83,0.01,,,2.83,0.01,,,
2022-02,Federal Bank App,,,,,108.21,0.55,,,108.21,0.55,,,
2022-02,Fino Payments bank App,,,,,3.25,0.03,,,3.25,0.03,,,
2022-02,Finshell Pay,,,,,3.8,0.06,,,3.8,0.06,,,
2022-02,Google Pay,,,,,nan,1524.09,,,nan,1524.09,,,
2022-02,HDFC Bank Apps,,,,,1370.03,4.59,,,1370.03,4.59,,,
2022-02,HSBC Bank App,,,0.04,,52.94,0.08,,,52.97,0.08,,,
2022-02,ICICI Bank Apps,,,190.34,3.27,8537.11,27.39,,,8727.44,30.66,,,
2022-02,IDBI Bank App,,,,,14.6,0.02,,,14.6,0.02,,,
2022-02,IDFC Bank App,,,,,321.93,1.21,,,321.93,1.21,,,
2022-02,India Post Payments Bank App,,,,,268.9,2.21,,,268.9,2.21,,,
2022-02,Indian Bank App,,,,,42.07,0.11,,,42.07,0.11,,,
2022-02,IndusInd Bank App,,,,,1358.24,0.77,,,1358.24,0.77,,,
2022-02,Jammu and Kashmir Bank App,,,,,3.43,0.01,,,3.43,0.01,,,
2022-02,Janta Sahakari Bank App,,,,,4.33,0.01,,,4.33,0.01,,,
2022-02,Jio Payments Bank App,,,,,111.85,1.97,,,111.85,1.97,,,
2022-02,Jupiter Money,,,,,140.79,1.13,,,140.79,1.13,,,
2022-02,Karnataka Bank App,,,,,31.35,0.25,,,31.35,0.25,,,
2022-02,Karur Vysya Bank App,,,,,17.17,0.04,,,17.17,0.04,,,
2022-02,Kotak Mahindra Bank Apps,,,,,1383.3,6.91,,,1383.3,6.91,,,
2022-02,MakeMy Trip,,,,,33.03,0.08,,,33.03,0.08,,,
2022-02,MI Pay,,,,,38.46,0.25,,,38.46,0.25,,,
2022-02,Mobikwik,,,,,755.89,3.78,,,755.89,3.78,,,
2022-02,NSDL Payments Bank App,,,,,1.77,0.02,,,1.77,0.02,,,
2022-02,Paytm Payments Bank App,,,18.96,8.48,72204.32,613.77,14075.94,84.52,86299.22,706.77,,,
2022-02,PhonePe,,,,,nan,2120.2,,,nan,2120.2,,,
2022-02,Punjab National Bank App,,,,,43.49,0.08,,,43.49,0.08,,,
2022-02,Punjab Sindh Bank Apps,,,,,2.66,0.01,,,2.66,0.01,,,
2022-02,RBL Bank App,,,,,107.25,0.51,,,107.25,0.51,,,
2022-02,Samsung Pay,,,,,421.97,3.14,,,421.97,3.14,,,
2022-02,South Indian Bank App,,,,,38.69,0.12,,,38.69,0.12,,,
2022-02,Standard Chartered Bank App,,,,,64.7,0.12,,,64.7,0.12,,,
2022-02,State Bank of India Apps,,,,,1863.42,3.38,,,1863.42,3.38,,,
2022-02,UCO Bank App,,,,,35.05,0.16,,,35.05,0.16,,,
2022-02,Ultracash,,,,,158.7,1.51,,,158.7,1.51,,,
2022-02,Union Bank Apps,,,,,166.72,0.35,,,166.72,0.35,,,
2022-02,Utkarsh Small Finance Bank,,,,,2.42,0.01,,,2.42,0.01,,,
2022-02,WhatsApp,,,,,207.09,2.24,,,207.09,2.24,,,
2022-02,Yes Bank Apps,,,0.06,0.19,6551.55,31.99,,,6551.61,32.17,,,
2022-02,YuvaPay,,,,,89.7,0.05,,,89.7,0.05,,,
2022-02,Others,,,,,8.15,0.02,,,8.15,0.02,,,
2022-03,Airtel Payments Bank Apps,,,,,1934.41,8.33,2557.85,4.82,4492.25,13.16,,,
2022-03,Allahabad Bank Apps,,,,,6.15,0.02,,,6.15,0.02,,,
2022-03,Amazon Pay,,,,,6894.78,76.34,,,6894.78,76.34,,,
2022-03,AU Small Finance Bank Apps,,,,,104.48,0.29,,,104.48,0.29,,,
2022-03,Axis Bank Apps,,,39.81,54.21,1045.13,7.09,,,1084.94,61.29,,,
2022-03,Bajaj Finserv,,,,,24.08,0.35,,,24.08,0.35,,,
2022-03,Bank of Baroda Apps,,,,,328.61,0.69,,,328.61,0.69,,,
2022-03,Bank of India Apps,,,,,26.22,0.08,,,26.22,0.08,,,
2022-03,Bank of Maharashtra Apps,,,,,15.0,0.05,,,15.0,0.05,,,
2022-03,BHIM,,,,,8050.24,24.88,,,8050.24,24.88,,,
2022-03,Canara Bank Apps,,,,,109.68,0.31,,,109.68,0.31,,,
2022-03,Central Bank of India Apps,,,,,50.67,0.14,,,50.67,0.14,,,
2022-03,Citi Bank Apps,,,,,68.41,0.11,,,68.41,0.11,,,
2022-03,City Union Bank Apps,,,,,7.3,0.03,,,7.3,0.03,,,
2022-03,Cointab,,,,,33.22,0.08,,,33.22,0.08,,,
2022-03,Cred,,,,,16136.11,12.11,,,16136.11,12.11,,,
2022-03,DBS Digibank Apps,,,,,185.52,0.49,,,185.52,0.49,,,
2022-03,Dena Bank Apps,,,,,29.32,0.02,,,29.32,0.02,,,
2022-03,Deutsche Bank Apps,1.36,,,,91.66,1.02,,,93.02,1.02,,,
2022-03,Dhanlaxmi Bank Apps,,,,,3.29,0.01,,,3.29,0.01,,,
2022-03,Fave,,,,,13.0,0.37,,,13.0,0.37,,,
2022-03,Federal Bank Apps,,,,,360.96,2.45,,,360.96,2.45,,,
2022-03,Fino Payments bank Apps,,,,,3.47,0.04,,,3.47,0.04,,,
2022-03,Finserv Markets,,,,,1.49,0.03,,,1.49,0.03,,,
2022-03,Finshell Pay,,,,,4.0,0.08,,,4.0,0.08,,,
2022-03,GoIbibo,,,,,5.91,0.02,,,5.91,0.02,,,
2022-03,Google Pay,,,,,nan,1838.12,,,nan,1838.12,,,
2022-03,Groww,,,,,472.71,0.83,,,472.71,0.83,,,
2022-03,HDFC Bank Apps,,,,,1624.54,5.45,,,1624.54,5.45,,,
2022-03,HSBC Bank Apps,,,0.16,,61.85,0.1,,,62.0,0.1,,,
2022-03,ICICI Bank Apps,,,234.61,3.65,10304.08,31.49,,,10538.69,35.13,,,
2022-03,IDBI Bank Apps,,,,,16.25,0.03,,,16.25,0.03,,,
2022-03,IDFC Bank Apps,,,,,534.56,2.7,,,534.56,2.7,,,
2022-03,India Post Payments Bank Apps,,,,,321.14,2.95,,,321.14,2.95,,,
2022-03,Indian Bank Apps,,,,,42.26,0.11,,,42.26,0.11,,,
2022-03,Indian Overseas Bank Apps,,,,,1.62,0.01,,,1.62,0.01,,,
2022-03,IndusInd Bank Apps,,,,,2252.3,1.03,,,2252.3,1.03,,,
2022-03,Jammu and Kashmir Bank Apps,,,,,2.15,0.01,,,2.15,0.01,,,
2022-03,Janata Sahakari Bank Apps,,,,,4.51,0.01,,,4.51,0.01,,,
2022-03,Jio Payments Bank Apps,,,,,129.5,2.27,,,129.5,2.27,,,
2022-03,Jupiter,,,,,164.8,1.32,,,164.8,1.32,,,
2022-03,Karnataka Bank Apps,,,,,37.96,0.3,,,37.96,0.3,,,
2022-03,Karur Vysya Bank Apps,,,,,18.29,0.04,,,18.29,0.04,,,
2022-03,Kotak Mahindra Bank Apps,,,,,1587.51,7.92,,,1587.51,7.92,,,
2022-03,MakeMyTrip,,,,,47.1,0.1,,,47.1,0.1,,,
2022-03,MI Pay,,,,,36.02,0.24,,,36.02,0.24,,,
2022-03,Mobikwik,,,,,739.25,3.6,,,739.25,3.6,,,
2022-03,NSDL Payments Bank Apps,,,,,2.28,0.02,,,2.28,0.02,,,
2022-03,Paytm Payments Bank App,,,17.68,9.77,83840.44,729.63,11792.24,97.74,95650.36,837.14,,,
2022-03,PhonePe,,,,,nan,2527.15,,,nan,2527.15,,,
2022-03,Punjab National Bank Apps,,,,,46.64,0.09,,,46.64,0.09,,,
2022-03,Punjab Sind Bank Apps,,,,,3.8,0.01,,,3.8,0.01,,,
2022-03,RBL Bank Apps,,,,,126.74,0.46,,,126.75,0.46,,,
2022-03,Samsung Pay,,,,,473.5,3.73,,,473.5,3.73,,,
2022-03,South Indian Bank Apps,,,,,44.63,0.13,,,44.63,0.13,,,
2022-03,Standard Chartered Bank Apps,,,,,69.84,0.13,,,69.84,0.13,,,
2022-03,State Bank of India Apps,,,,,2130.56,4.01,,,2130.56,4.01,,,
2022-03,SuperPay,,,,,0.64,0.1,,,0.64,0.1,,,
2022-03,UCO Bank Apps,,,,,40.88,0.19,,,40.88,0.19,,,
2022-03,Ultracash,,,,,1.12,0.03,,,1.12,0.03,,,
2022-03,Union Bank Apps,,,,,197.01,0.41,,,197.01,0.41,,,
2022-03,Utkarsh Small Finance Bank Apps,,,,,3.9,0.01,,,3.9,0.01,,,
2022-03,WhatsApp,,,,,239.78,2.54,,,239.78,2.54,,,
2022-03,Yes Bank Apps,,,,,8746.74,35.25,,,8746.74,35.25,,,
2022-03,YuvaPay,,,,,105.39,0.06,,,105.39,0.06,,,
2022-03,Others,,,,,8.11,0.02,,,8.11,0.02,,,
2022-04,Airtel Payments Bank Apps,,,,,454.64,5.29,6.26,0.01,460.9,5.3,,,
2022-04,Amazon Pay,,,,,6699.57,73.21,,,6699.57,73.21,,,
2022-04,AU Small Finance Bank Apps,,,,,109.89,0.32,,,109.89,0.32,,,
2022-04,Axis Bank Apps,,,43.71,56.84,1213.44,7.19,,,1257.15,64.03,,,
2022-04,Bajaj Finserv,,,,,38.61,0.52,,,38.61,0.52,,,
2022-04,Bank of Baroda Apps,,,,,344.65,0.77,,,344.65,0.77,,,
2022-04,Bank of India Apps,,,,,32.62,0.1,,,32.62,0.1,,,
2022-04,Bank of Maharashtra Apps,,,,,14.56,0.05,,,14.56,0.05,,,
2022-04,BHIM,,,,,8354.34,25.69,,,8354.34,25.69,,,
2022-04,Canara Bank Apps,,,,,110.31,0.31,,,110.31,0.31,,,
2022-04,Central Bank of India Apps,,,,,51.04,0.13,,,51.04,0.13,,,
2022-04,Citi Bank Apps,,,,,66.03,0.08,,,66.03,0.08,,,
2022-04,City Union Bank Apps,,,,,8.41,0.03,,,8.41,0.03,,,
2022-04,Cointab,,,,,28.5,0.07,,,28.5,0.07,,,
2022-04,Cred,,,,,16372.92,13.05,,,16372.92,13.05,,,
2022-04,DBS Digibank Apps,,,,,175.45,0.47,,,175.45,0.47,,,
2022-04,Deutsche Bank Apps,0.3,,,,128.13,1.51,,,128.43,1.51,,,
2022-04,Dhanlaxmi Bank Apps,,,,,3.02,0.01,,,3.02,0.01,,,
2022-04,Fave,,,,,7.73,0.18,,,7.73,0.18,,,
2022-04,Federal Bank Apps,,,,,375.64,2.7,,,375.64,2.7,,,
2022-04,Fino Payments bank Apps,,,,,3.26,0.04,,,3.26,0.04,,,
2022-04,Finserv Markets,,,,,1.06,0.01,,,1.06,0.01,,,
2022-04,Finshell Pay,,,,,4.45,0.08,,,4.45,0.08,,,
2022-04,GoIbibo,,,,,3.31,0.01,,,3.31,0.01,,,
2022-04,Google Pay,,,,,344791.35,1914.77,,,344791.35,1914.77,,,
2022-04,Groww,,,,,376.18,0.61,,,376.18,0.61,,,
2022-04,HDFC Bank Apps,,,,,1759.12,5.9,,,1759.12,5.9,,,
2022-04,HSBC Bank Apps,,,0.02,,59.7,0.11,,,59.72,0.11,,,
2022-04,ICICI Bank Apps,,,269.45,4.83,9086.72,32.82,,,9356.17,37.65,,,
2022-04,IDBI Bank Apps,,,,,16.78,0.03,,,16.78,0.03,,,
2022-04,IDFC Bank Apps,,,,,532.69,2.49,,,532.69,2.49,,,
2022-04,India Post Payments Bank Apps,,,,,328.53,2.8,,,328.53,2.8,,,
2022-04,Indian Bank Apps,,,,,49.9,0.14,,,49.9,0.14,,,
2022-04,Indian Overseas Bank Apps,,,,,1.52,0.01,,,1.52,0.01,,,
2022-04,IndusInd Bank Apps,,,,,2596.71,1.02,,,2596.71,1.02,,,
2022-04,Janata Sahakari Bank Apps,,,,,4.28,0.01,,,4.28,0.01,,,
2022-04,Jio Payments Bank Apps,,,,,126.25,2.1,,,126.25,2.1,,,
2022-04,Jupiter,,,,,186.13,1.47,,,186.13,1.47,,,
2022-04,Jupiter Edge (LivQuick PPI App),,,,,0.43,0.01,,,0.43,0.01,,,
2022-04,Karnataka Bank Apps,,,,,35.58,0.27,,,35.58,0.27,,,
2022-04,Karur Vysya Bank Apps,,,,,18.54,0.04,,,18.54,0.04,,,
2022-04,Kotak Mahindra Bank Apps,,,,,1684.35,7.96,,,1684.35,7.96,,,
2022-04,MakeMyTrip,,,,,41.18,0.09,,,41.18,0.09,,,
2022-04,MI Pay,,,,,28.58,0.19,,,28.58,0.19,,,
2022-04,Mobikwik,,,,,421.47,2.37,,,421.47,2.37,,,
2022-04,NSDL Payments Bank Apps,,,,,2.32,0.02,,,2.32,0.02,,,
2022-04,Paytm Payments Bank App,,,15.98,11.15,85918.88,740.76,15714.2,99.7,101649.06,851.61,,,
2022-04,PhonePe,,,,,486557.03,2616.26,,,486557.03,2616.26,,,
2022-04,Punjab National Bank Apps,,,,,46.27,0.09,,,46.27,0.09,,,
2022-04,Punjab Sind Bank Apps,,,,,5.38,0.01,,,5.38,0.01,,,
2022-04,RBL Bank Apps,,,,,113.65,0.3,,,113.65,0.3,,,
2022-04,Samsung Pay,,,,,470.11,3.81,,,470.11,3.81,,,
2022-04,South Indian Bank Apps,,,,,45.03,0.13,,,45.03,0.13,,,
2022-04,Standard Chartered Bank Apps,,,,,68.15,0.12,,,68.15,0.12,,,
2022-04,State Bank of India Apps,,,,,2118.0,4.03,,,2118.0,4.03,,,
2022-04,SuperPay,,,,,0.4,0.02,,,0.4,0.02,,,
2022-04,Tamilnad Mercantile Bank Apps,,,,,0.26,0.01,,,0.26,0.01,,,
2022-04,TataNeu,,,,,32.82,0.35,,,32.82,0.35,,,
2022-04,UCO Bank Apps,,,,,41.48,0.21,,,41.48,0.21,,,
2022-04,Ultracash,,,,,2.22,0.03,,,2.22,0.03,,,
2022-04,Union Bank Apps,,,,,198.34,0.42,,,198.34,0.42,,,
2022-04,Utkarsh Small Finance Bank Apps,,,,,3.88,0.01,,,3.88,0.01,,,
2022-04,WhatsApp,,,,,242.4,2.5,,,242.4,2.5,,,
2022-04,Yes Bank Apps,,,,,10246.99,34.07,,,10246.99,34.07,,,
2022-04,YuvaPay,,,,,103.34,0.06,,,103.34,0.06,,,
2022-04,Others,,,,,8.26,0.02,,,8.26,0.02,,,
2022-05,Airtel Payments Bank Apps,,,,,486.55,6.1,0.07,,486.62,6.11,,,
2022-05,Allahabad Bank Apps,,,,,6.25,0.02,,,6.25,0.02,,,
2022-05,Amazon Pay,,,,,6954.18,74.83,,,6954.18,74.83,,,
2022-05,AU Small Finance Bank Apps,,,,,107.22,0.35,,,107.22,0.35,,,
2022-05,Axis Bank Apps,4.77,0.06,48.08,51.14,1372.31,7.46,,,1425.16,58.66,,,
2022-05,Bajaj Finserv,,,,,58.53,0.79,,,58.53,0.79,,,
2022-05,Bank of Baroda Apps,,,,,406.79,0.88,,,406.79,0.88,,,
2022-05,Bank of India Apps,,,,,40.04,0.12,,,40.04,0.12,,,
2022-05,Bank of Maharashtra Apps,,,,,16.47,0.06,,,16.47,0.06,,,
2022-05,BHIM,,,,,9559.66,26.57,,,9559.66,26.57,,,
2022-05,Canara Bank Apps,,,,,114.09,0.33,,,114.09,0.33,,,
2022-05,Central Bank of India Apps,,,,,55.4,0.15,,,55.4,0.15,,,
2022-05,Citi Bank Apps,,,,,78.71,0.13,,,78.71,0.13,,,
2022-05,City Union Bank Apps,,,,,10.06,0.03,,,10.06,0.03,,,
2022-05,Cointab,,,,,23.77,0.06,,,23.77,0.06,,,
2022-05,Cred,,,,,18174.61,13.89,,,18174.61,13.89,,,
2022-05,DBS Digibank Apps,,,,,186.33,0.47,,,186.33,0.47,,,
2022-05,Deutsche Bank Apps,,,,,116.54,1.64,,,116.55,1.64,,,
2022-05,Dhanlaxmi Bank Apps,,,,,3.35,0.01,,,3.35,0.01,,,
2022-05,Fave,,,,,6.12,0.1,,,6.12,0.1,,,
2022-05,Federal Bank Apps,,,,,474.12,3.42,,,474.12,3.42,,,
2022-05,Fino Payments bank Apps,,,,,3.83,0.04,,,3.83,0.04,,,
2022-05,Finserv Markets,,,,,1.01,0.01,,,1.01,0.01,,,
2022-05,Finshell Pay,,,,,4.68,0.09,,,4.68,0.09,,,
2022-05,GoIbibo,,,,,2.41,0.01,,,2.41,0.01,,,
2022-05,Google Pay,,,,,365989.27,2079.92,,,365989.27,2079.92,,,
2022-05,Groww,,,,,335.28,0.51,,,335.28,0.51,,,
2022-05,HDFC Bank Apps,,,,,1981.11,6.95,,,1981.11,6.95,,,
2022-05,HSBC Bank Apps,,,0.1,,63.07,0.1,,,63.17,0.1,,,
2022-05,ICICI Bank Apps,1714.32,2.82,120.93,2.01,9221.65,32.75,,,11056.9,37.59,,,
2022-05,IDBI Bank Apps,,,,,18.48,0.03,,,18.48,0.03,,,
2022-05,IDFC Bank Apps,,,,,626.34,4.75,,,626.34,4.75,,,
2022-05,India Post Payments Bank Apps,,,,,351.88,3.1,,,351.88,3.1,,,
2022-05,Indian Bank Apps,0.02,,,,53.11,0.16,,,53.13,0.16,,,
2022-05,Indian Overseas Bank Apps,,,,,2.35,0.01,,,2.35,0.01,,,
2022-05,IndusInd Bank Apps,,,,,1711.21,1.01,,,1711.21,1.01,,,
2022-05,Janata Sahakari Bank Apps,,,,,4.79,0.01,,,4.79,0.01,,,
2022-05,Jio Payments Bank Apps,,,,,127.88,2.08,,,127.88,2.08,,,
2022-05,Jupiter,,,,,215.44,1.79,,,215.44,1.79,,,
2022-05,Jupiter Edge (LivQuick PPI),,,,,5.74,0.1,,,5.74,0.1,,,
2022-05,Karnataka Bank Apps,,,,,40.34,0.33,,,40.34,0.33,,,
2022-05,Karur Vysya Bank Apps,,,,,17.69,0.04,,,17.69,0.04,,,
2022-05,Kotak Mahindra Bank Apps,2.19,,,,1882.81,8.5,,,1885.0,8.5,,,
2022-05,MakeMyTrip,,,,,43.26,0.09,,,43.26,0.09,,,
2022-05,MI Pay,,,,,33.9,0.2,,,33.9,0.2,,,
2022-05,Mobikwik,,,,,397.7,2.46,,,397.7,2.46,,,
2022-05,NSDL Payments Bank Apps,,,,,2.39,0.02,,,2.39,0.02,,,
2022-05,Paytm Payments Bank App,224.61,0.19,5.96,3.66,91546.5,780.87,16499.7,102.73,108276.78,887.45,,,
2022-05,PhonePe,,,,,511028.81,2778.75,,,511028.81,2778.75,,,
2022-05,Punjab National Bank Apps,,,,,43.77,0.09,,,43.77,0.09,,,
2022-05,Punjab Sind Bank Apps,,,,,6.39,0.01,,,6.39,0.01,,,
2022-05,RBL Bank Apps,1.38,0.05,,,124.01,0.32,,,125.39,0.38,,,
2022-05,Samsung Pay,,,,,490.3,4.11,,,490.3,4.11,,,
2022-05,South Indian Bank Apps,,,,,49.73,0.14,,,49.73,0.14,,,
2022-05,Standard Chartered Bank Apps,,,,,70.48,0.13,,,70.48,0.13,,,
2022-05,State Bank of India Apps,,,,,2195.66,4.18,,,2195.66,4.18,,,
2022-05,Tamilnad Mercantile Bank Apps,,,,,1.13,0.01,,,1.13,0.01,,,
2022-05,TataNeu,,,,,30.33,0.22,,,30.33,0.22,,,
