period,beneficiary_bank,cb_ratio,chargebacks_accepted_during_the_month,chargebacks_received_during_the_month,code,representment_raised_during_the_month,total_txns_during_the_month,type_name
2021-03,Axis Bank Ltd.,0.006,3500,13838,AXB,10338,232530187,
2021-03,ICICI Bank,0.004,2451,10568,ICI,8117,245424444,
2021-03,Paytm Payments Bank,0.002,339,7160,PTM,6821,469840240,
2021-03,HDFC BANK LTD,0.004,2468,6761,HDF,4293,160751686,
2021-03,Yes Bank Ltd,0.002,236,5168,YES,4932,334873698,
2021-03,INDUSIND BANK,0.01,402,3842,IIB,3440,37401860,
2021-03,State Bank Of India,0.001,566,3334,SBI,2768,413326482,
2021-03,Yes Bank Ltd,0.001,288,2421,YBL,2133,334873698,
2021-03,Federal Bank,0.001,4,567,FBL,563,68276229,
2021-03,Airtel Payments Bank,0.002,38,436,ARL,398,26418076,
2021-03,CITI,0.008,33,391,CIT,358,4743837,
2021-03,Kotak Mahindra Bank,0.001,86,317,KMB,231,57595479,
2021-03,TJSB Sahakari Bank Ltd,0.011,,169,TSB,169,1601074,
2021-03,Bank of Baroda,0.0,38,166,BOB,128,91601545,
2021-03,Indian Bank,0.0,,165,INB,165,38378904,
2021-03,HSBC,0.006,,132,HSB,132,2206875,
2021-03,IDFC FIRST Bank,0.001,1,128,IDF,127,9456851,
2021-03,Maharashtra Gramin Bank,0.005,2,117,MGB,115,2584996,
2021-03,Canara Bank,0.0,,98,CNB,98,72882141,
2021-03,Union Bank of India,0.0,1,81,UOB,80,65042627,
2021-03,Bank of India,0.0,,63,BOI,63,59271935,
2021-03,Central Bank Of India,0.0,,58,CBI,58,34827616,
2021-03,Andhra Bank,0.0,6,55,ANB,49,25800704,
2021-03,Punjab and Sind Bank,0.002,2,54,PSB,52,2458356,
2021-03,AU small Finance Bank,0.001,3,38,AUS,35,4245599,
2021-03,IDBI Bank Limited,0.0,,34,IDB,34,26035271,
2021-03,DBS Bank India Limited,0.001,2,33,DBS,31,5491969,
2021-03,Bank of Maharashtra,0.0,,32,BOM,32,19081089,
2021-03,Punjab National Bank,0.0,1,31,PNB,30,79599462,
2021-03,Kerala Gramin Bank,0.001,9,30,KLG,21,2037610,
2021-03,UCO Bank,0.0,2,28,UCO,26,17652836,
2021-03,RBL,0.001,,27,RNB,27,2546134,
2021-03,Karnataka Vikas Grameena Bank,0.001,7,23,KVG,16,1777006,
2021-03,Standard Chartered,0.001,4,23,SCB,19,2659241,
2021-03,Rajasthan Marudhara Gramin Bank,0.001,,19,RMG,19,1989613,
2021-03,Indian Overseas Bank,0.0,,18,IOB,18,20601205,
2021-03,Jio Payments Bank,0.005,14,16,JIO,2,329775,
2021-03,Karur Vysya Bank,0.0,2,15,KVB,13,12756752,
2021-03,Bandhan Bank,0.0,,14,BDN,14,7673331,
2021-03,Karnataka Bank,0.0,1,12,KTB,11,18402379,
2021-03,South Indian Bank,0.0,4,12,SIB,8,7993991,
2021-03,Equitas Bank,0.001,4,9,EQT,5,1752488,
2021-03,Lakshmi Vilas Bank,0.0,2,8,LVB,6,2044166,
2021-03,Purvanchal Bank,0.0,,8,PUR,8,1675393,
2021-03,Jammu and Kashmir Bank,0.0,1,7,JKB,6,1971543,
2021-03,Andhra Pragathi Grameena Bank,0.0,1,6,AND,5,2648296,
2021-03,Jharkhand Rajya Gramin Bank,0.002,1,6,VGB,5,397647,
2021-03,Dakshin Bihar Gramin Bank,0.001,2,6,MBB,4,1104028,
2021-03,The Priyadarshini Nagari Sahakari Bank,0.011,3,6,PRY,3,53417,
2021-03,City Union Bank,0.0,,5,CUB,5,6200152,
2021-03,Bharat Co-Operative Bank (Mumbai) Ltd.,0.001,,5,BHB,5,650747,
2021-03,Andhra Pradesh Grameena Vikas Bank,0.0,2,5,APV,3,3882099,
2021-03,Nainital Bank,0.003,1,5,NTB,4,178607,
2021-03,India Post Payment Bank,0.0,,4,IPB,4,5379363,
2021-03,Cosmos Bank,0.0,,4,COB,4,1150139,
2021-03,CSB Bank Ltd,0.0,1,4,CSB,3,1129464,
2021-03,The Municipal Co-op Bank Ltd,0.005,4,4,MUN,,80872,
2021-03,Saurashtra Gramin Bank,0.003,,4,SAG,4,141627,
2021-03,Svc co-operative bank ltd,0.0,,3,SVC,3,921792,
2021-03,Ujjivan Small Finance Bank,0.0,,3,UIJ,3,4168648,
2021-03,Baroda UP Gramin Bank,0.0,1,3,BUB,2,1009830,
2021-03,DCB Bank Ltd,0.0,2,3,DCB,1,896845,
2021-03,Telangana Grameena bank,0.0,,3,TGB,3,1563006,
2021-03,Shri Chhatrapati Rajarshi Shahu Urban Co-Op. Bank Ltd. Beed,0.006,,3,SRS,3,50220,
2021-03,Smriti Nagrik Sahakari Bank Maryadit Mandsaur,0.029,3,3,SNB,,10460,
2021-03,PATAN NAGARIK SAHAKARI BANK LTD,0.155,3,3,PTN,,1933,
2021-03,Saraswat Bank,0.0,,2,SRC,2,3479602,
2021-03,Tamilnad Mercantile Bank,0.0,,2,TMB,2,4524784,
2021-03,Janata Sahakari Bank Ltd. Pune,0.0,,2,JSB,2,1033095,
2021-03,Baroda Rajasthan Kshetriya Gramin Bank,0.0,,2,BKG,2,1583372,
2021-03,Ahmednagar Merchant's Co Operative Bank Ltd,0.003,,2,AHM,2,64047,
2021-03,The Himachal Pradesh State Co-Op. Bank Ltd,0.006,1,2,HPB,1,32672,
2021-03,Bhagini Nivedita Sahakari Bank,0.004,,2,BNS,2,50869,
2021-03,The SSK Co-operative Bank Ltd.,0.032,2,2,TSS,,6268,
2021-03,Fino Payments Bank,0.0,,1,FIN,1,3312842,
2021-03,NSDL Payments Bank,0.0,,1,NSD,1,251124,
2021-03,ABHYUDAYA CO-OP. BANK LTD,0.0,,1,ACB,1,1054352,
2021-03,Jana Small Finance Bank Ltd,0.0,,1,JSF,1,587316,
2021-03,Sarva Haryana Gramin Bank,0.0,,1,SBG,1,1711308,
2021-03,Bassein Catholic Co-operative Bank,0.0,1,1,BCC,,408660,
2021-03,The Kalyan Janata Sahakari Bank Ltd.,0.0,,1,KJB,1,398882,
2021-03,Assam Gramin Vikash Bank,0.0,1,1,AMG,,240312,
2021-03,Pragathi Krishna Gramin Bank,0.0,,1,PKB,1,3216457,
2021-03,The Kalupur Commercial Co-operative Bank Ltd,0.0,,1,KLB,1,236707,
2021-03,ESAF Small Finance Bank Ltd.,0.0,,1,EAF,1,1758062,
2021-03,Sarva UP Gramin Bank,0.0,,1,SUB,1,645680,
2021-03,THE SINDHUDURG DCC BANK LTD,0.003,,1,SID,1,32945,
2021-03,Janakalyan Sahakari Bank Ltd,0.003,,1,JKS,1,36215,
2021-03,GS Mahanagar Coop bank,0.0,1,1,MNB,,378570,
2021-03,NKGSB Bank,0.0,1,1,NGB,,422233,
2021-03,Pune Cantonment Sahakari bank Ltd,0.005,1,1,PCS,,20882,
2021-03,Yadagiri Co-op Bank,0.009,,1,YLN,1,11547,
2021-03,The New Urban Co-operative Bank Ltd Rampur,0.071,1,1,NUR,,1417,
2021-03,Model Co-Op. Bank Ltd.,0.004,,1,MOC,1,23243,
2021-03,The Hasti Co-operative Bank Ltd,0.001,,1,HTI,1,86107,
2021-03,Baroda Gujarat Gramin Bank,0.001,,1,BGI,1,183637,
2021-03,Fincare Small Finance Bank Ltd,0.0,,,FSF,,1092475,
2021-03,Allahabad Bank,,,,ALB,,,
2021-03,GP PARSIK BANK,0.0,,,GPB,,705081,
2021-03,Dombivali Nagri Sahakari Bank,0.0,,,DSB,,489297,
2021-03,Rajkot Nagrik Sahakari Bank Ltd.,0.0,,,RKN,,105616,
2021-03,Citibank,0.0,,,CTB,,2551876,
2021-03,Jalgaon Janata Sahkari Bank Ltd Jalgaon,0.0,,,JJS,,224710,
2021-03,Samarth Sahakari Bank Ltd. Solapur,0.0,,,SDM,,59321,
2021-03,Tripura Gramin Bank,0.0,,,TIR,,161800,
2021-03,Telangana State Co Op Apex Bank,0.0,,,TEL,,255760,
2021-03,The Baramati Sahakari Bank Ltd,0.0,,,BRM,,147350,
2021-03,Syndicate Bank,,,,SYB,,,
2021-03,Punjab Gramin Bank,0.0,,,PGB,,216387,
2021-03,Capital Small Finance Bank Ltd,0.0,,,CPF,,56708,
2021-03,The Surat District Cooperative Bank,0.0,,,TNF,,48509,
2021-03,Apna Sahakari Bank Ltd.,0.0,,,APN,,524477,
2021-03,Surat People Cooperative Bank,0.0,,,SPB,,74045,
2021-03,Deutsche Bank,0.0,,,DBA,,42269,
2021-03,Vasai Vikas Sahakari Bank Ltd,0.0,,,VVS,,167813,
2021-03,United Bank of India,,,,UBI,,,
2021-03,The Visakhapatnam Cooperative Bank Ltd,0.0,,,VKH,,50681,
2021-03,The Udaipur Mahila Urban Co-Operative Bank Ltd.,0.0,,,UMB,,12567,
2021-03,SHREE KADI NAGARIK SAHAKARI BANK LTD,0.0,,,SHK,,41055,
2021-03,Gayatri Bank,0.0,,,GYB,,276957,
2021-03,Dhanlaxmi Bank Ltd,0.0,,,DLB,,826265,
2021-03,CHATISGARH R G BANK,0.0,,,CHB,,467824,
2021-03,The Varachha Co-Op Bank Ltd,0.0,,,VAR,,147508,
2021-03,Uttarakhand Gramin Bank,0.0,,,UKG,,410153,
2021-03,Associate Co.op. Bank Ltd.,0.0,,,TAS,,4440,
2021-03,Suryoday Small Finance Bank Ltd.,0.0,,,SSF,,262594,
2021-03,Mizoram Rural Bank,0.0,,,MZR,,168332,
2021-03,Maratha Cooperative Bank Ltd,0.0,,,MCL,,5635,
2021-03,Janaseva Sahakari,0.0,,,JNS,,134549,
2021-03,The Adarsh Co-operative Urban Bank Ltd.,0.0,,,ACU,,76463,
2021-03,The Vijay Cooperative Bank Ltd.,0.0,,,VJC,,20781,
2021-03,Thane Bharat Sahakari Bank Ltd,0.0,,,TBS,,185290,
2021-03,Shri Veershaiv Co-Op Bank Ltd.,0.0,,,SVB,,25039,
2021-03,SHRI ARIHANT CO-OP BANK LTD,0.0,,,SAC,,17581,
2021-03,The Mehsana Urban Co-Operative Bank Ltd.,0.0,,,MUC,,193924,
2021-03,The Merchants Souharda Sahakara Bank Ni.,0.0,,,MSS,,492,
2021-03,Kanaka Mahalakshmi Co-Operative Bank Ltd.,0.0,,,KAN,,20451,
2021-03,J&K Grameen Bank,0.0,,,JKG,,54347,
2021-03,Himachal Pradesh Gramin Bank,0.0,,,HGB,,175824,
2021-03,The Gadchiroli District Central Co-Op. Bank Ltd.,0.0,,,GHD,,7982,
2021-03,Chaitanya Godavari Grameena Bank,0.0,,,CGG,,689031,
2021-03,Bank Of America,0.0,,,BOA,,2388,
2021-03,A P Mahesh Bank,0.0,,,APM,,203677,
2021-03,THE AHMEDABAD DISTRICT COOP BANK LTD,0.0,,,AHD,,183576,
2021-03,The Vallabh Vidyanagar Commercial Co-Operative Bank Ltd.,0.0,,,VVB,,894,
2021-03,Sri Vasavamba Co-Op. Bank Ltd.,0.0,,,VSM,,2644,
2021-03,The Vishweshwar Sahakari Bank Ltd. Pune (Multi-State),0.0,,,VSI,,177625,
2021-03,Vikas Souharda Co-operative Bank Ltd,0.0,,,VIK,,43984,
2021-03,The Udaipur Urban Co-Operative Bank Ltd.,0.0,,,UUB,,5338,
2021-03,The Udaipur Mahila Samridhi Urban Co-operative Bank Ltd.,0.0,,,UMS,,7283,
2021-03,THE URBAN CO OP BANK LTD DHARANGAON,0.0,,,UBD,,7592,
2021-03,Suvarnayug Sahakari Bank Ltd,0.0,,,SYG,,152079,
2021-03,SARVODAYA COMMERCIAL CO OP BANK LTD,0.0,,,SVY,,13677,
2021-03,The Sutex Co.op.Bank Ltd.,0.0,,,SUX,,35300,
2021-03,The Satara District Central Coop Bank Ltd,0.0,,,STA,,99453,
2021-03,SUCO SOUHARDA SAHAKARI BANK LTD,0.0,,,SSK,,194665,
2021-03,Shri Mahila Sewa Sahakari Bank Ltd.,0.0,,,SMW,,1827,
2021-03,Samruddhi Co-Operative Bank Ltd. Nagpur,0.0,,,SMR,,3540,
2021-03,SHREE MAHAVIR SAHAKARI BANK LTD,0.0,,,SMB,,153,
2021-03,Sterling Urban Cooperative Bank Ltd,0.0,,,SLB,,16336,
2021-03,Sabarkantha District Central Cooperative Bank Ltd,0.0,,,SKD,,57273,
2021-03,Shivalik Mercantile Co-operative Bank Ltd,0.0,,,SHB,,12831,
2021-03,Sandur Pattana Souharda Sahakari Bank,0.0,,,SDR,,4043,
2021-03,Shree Dharati Co-Operative Bank Ltd,0.0,,,SDH,,542,
2021-03,SAIBABA NAGARI SAHAKARI BANK MARYADIT SAILU,0.0,,,SBN,,2877,
2021-03,SBM Bank India Ltd.,0.0,,,SBL,,2097,
2021-03,Rani Channamma mahila Sahakari Bank Niyamit,0.0,,,RNI,,2178,
2021-03,RAJKOT DISTRICT CENTRAL COOP BANK,0.0,,,RKT,,11040,
2021-03,Pochampally Co Bank,0.0,,,PPB,,58085,
2021-03,Pali Urban Co-Operative Bank Limited,0.0,,,PLB,,2281,
2021-03,The Prime Cooperative Bank Ltd,0.0,,,PCB,,17116,
2021-03,PASCHIM BANGA GRAMIN BANK,0.0,,,PBG,,66730,
2021-03,Oriental Bank of Commerce,,,,OBC,,,
2021-03,Nutan Nagrik Sahakari Bank,0.0,,,NNI,,18603,
2021-03,Nagarik Sahakari Bank Maryadit,0.0,,,NMV,,1747,
2021-03,Slice Small Finance Bank Ltd,0.0,,,NES,,4229,
2021-03,Malviya Urban Co-operative Bank Ltd.,0.0,,,MVY,,3155,
2021-03,The Muslim Cooperative Bank Ltd,0.0,,,MSL,,51708,
2021-03,The Malad Sahakari Bank Ltd.,0.0,,,MSB,,21304,
2021-03,MADHYA PRADESH RAJYA SAHAKARI BANK MARYADIT,0.0,,,MRS,,1727,
2021-03,Meghalaya Rural Bank,0.0,,,MRB,,22599,
2021-03,The Modasa Nagarik Sahakari Bank Limited,0.0,,,MNS,,667,
2021-03,Manipur Rural Bank,0.0,,,MNR,,21619,
2021-03,Mann Deshi Mahila Sahakari Bank. Ltd.,0.0,,,MDM,,3053,
2021-03,Maharashtra State Co-op Bank Ltd,0.0,,,MBH,,30761,
2021-03,Krishna Bhima Samruddhi Local Area Bank,0.0,,,KRI,,23750,
2021-03,Kokan Mercantile Coop Bank Ltd,0.0,,,KKN,,31150,
2021-03,KAIJSB- Ichalkaranji,0.0,,,KIB,,126412,
2021-03,Kolhapur Dist. Central Co-Op. Bank Ltd.,0.0,,,KDK,,12795,
2021-03,The Kaira District Central Coop Bank,0.0,,,KAI,,18690,
2021-03,Jivan Commercial Co-Operative Bank Ltd,0.0,,,JVN,,879,
2021-03,Jalna Merchant Cooperative Bank Ltd,0.0,,,JNC,,13846,
2021-03,Indore Paraspar Sahakari bank Ltd. Indore,0.0,,,IPS,,1288,
2021-03,ICICI Bank Pockets,0.0,,,IPP,,4125,
2021-03,Irinjalakuda Town Co,0.0,,,IKT,,12,
2021-03,Hutatma Sahakari Bank Ltd,0.0,,,HSW,,23487,
2021-03,The Gujarat State Cooperative Bank,0.0,,,GSC,,121926,
2021-03,Fingrowth Cooperative Bank Ltd,0.0,,,FNG,,9034,
2021-03,Darussalam Co-Operative Urban Bank Ltd.,0.0,,,DSM,,14984,
2021-03,Dena Bank,0.0,,,DNB,,54253,
2021-03,Deutsche Bank Corp,0.0,,,DEU,,3837,
2021-03,Citizens Co-Operative Bank Ltd,0.0,,,CZS,,1834,
2021-03,The Citizen Coop Bank Ltd,0.0,,,CZN,,10548,
2021-03,Coastal Local Area Bank Ltd,0.0,,,CST,,120173,
2021-03,The Chartered Sahakari Bank,0.0,,,CHN,,5486,
2021-03,Bhilwara Urban Co-operative Bank Ltd,0.0,,,BWB,,5418,
2021-03,Sri Basaveshwar Bank,0.0,,,BSB,,3885,
2021-03,The Banaskantha Mercantile Co-Operative Bank Ltd,0.0,,,BKM,,13360,
2021-03,Banaskantha District Central Coop Bank,0.0,,,BKD,,44668,
2021-03,The Baroda Central Co-op Bank Ltd.,0.0,,,BDB,,18308,
2021-03,The Andhra Pradesh State Co-operative Bank Ltd.,0.0,,,ASB,,40767,
2021-03,The Anand Mercantile Co-operative Bank Ltd,0.0,,,AMO,,1236,
2021-03,The Ahmedabad Mercantile Cooperative Bank Ltd,0.0,,,AME,,23272,
2021-03,THE AHMEDABAD MERCANTILE CO OP BANK LTD,0.0,,,AMC,,25532,
2021-03,Adarsh Co-operative Bank Limited,0.0,,,ADB,,43656,
2021-04,ABHYUDAYA CO-OP. BANK LTD,0.0,0,2,ACB,2,988084,
2021-04,THE AHMEDABAD DISTRICT COOP BANK LTD,0.0,0,1,AHD,1,181312,
2021-04,Assam Gramin Vikash Bank,0.0,0,1,AMG,1,236752,
2021-04,Andhra Bank,0.0,0,36,ANB,36,26678360,
2021-04,Andhra Pragathi Grameena Bank,0.0,0,2,AND,2,2883022,
2021-04,Andhra Pradesh Grameena Vikas Bank,0.0,2,6,APV,4,4019126,
2021-04,Airtel Payments Bank,0.0,27,354,ARL,327,27484084,
2021-04,AU Small Finance Bank,0.0,2,35,AUS,33,4082776,
2021-04,Axis Bank Ltd.,0.0,2030,10665,AXB,8635,221810358,
2021-04,Bassein Catholic Co-operative Bank,0.0,2,3,BCC,1,369211,
2021-04,Bandhan Bank,0.0,0,2,BDN,2,7486863,
2021-04,Bharat Co-Operative Bank (Mumbai) Ltd.,0.0,0,1,BHB,1,562640,
2021-04,Bank of Baroda,0.0,82,182,BOB,100,85871570,
2021-04,Bank of India,0.0,0,29,BOI,29,56073397,
2021-04,Bank of Maharashtra,0.0,0,38,BOM,38,17229336,
2021-04,Baroda UP Gramin Bank,0.0,0,2,BUB,2,986721,
2021-04,Central Bank Of India,0.0,0,35,CBI,35,32662378,
2021-04,CHATISGARH R G BANK,0.0,0,1,CHB,1,440775,
2021-04,CITI,0.01,12,246,CIT,234,3754263,
2021-04,Canara Bank,0.0,0,82,CNB,82,69892504,
2021-04,CSB Bank Ltd,0.0,0,3,CSB,3,1041461,
2021-04,City Union Bank,0.0,0,6,CUB,6,5705116,
2021-04,DBS Bank India Limited,0.0,0,9,DBS,9,5332579,
2021-04,DCB Bank Ltd,0.0,0,1,DCB,1,833256,
2021-04,Dhanlaxmi Bank Ltd,0.0,0,2,DLB,2,800777,
2021-04,ESAF Small Finance Bank Ltd.,0.0,0,1,EAF,1,1695453,
2021-04,Equitas Bank,0.0,0,4,EQT,4,1713965,
2021-04,Federal Bank,0.0,4,383,FBL,379,55936358,
2021-04,HDFC BANK LTD,0.0,1682,4126,HDF,2444,151348400,
2021-04,The Himachal Pradesh State Co-Op. Bank Ltd,0.01,2,5,HPB,3,40149,
2021-04,HSBC,0.0,0,103,HSB,103,2135158,
2021-04,ICICI Bank,0.0,2496,8738,ICI,6242,248843901,
2021-04,IDBI Bank Limited,0.0,2,22,IDB,20,24627176,
2021-04,IDFC FIRST Bank,0.0,13,148,IDF,135,9178196,
2021-04,INDUSIND BANK,0.01,237,3330,IIB,3093,34844822,
2021-04,Indian Bank,0.0,3,325,INB,322,31540656,
2021-04,Indian Overseas Bank,0.0,4,25,IOB,21,19764803,
2021-04,India Post Payment Bank,0.0,0,2,IPB,2,5691873,
2021-04,Jio Payments Bank,0.0,1,9,JIO,8,339109,
2021-04,Jalgaon Janata Sahkari Bank Ltd Jalgaon,0.0,0,7,JJS,7,210505,
2021-04,Jammu and Kashmir Bank,0.0,0,7,JKB,7,1959510,
2021-04,J&K Grameen Bank,0.0,0,1,JKG,1,57210,
2021-04,Jalna Merchant Cooperative Bank Ltd,0.01,0,1,JNC,1,14538,
2021-04,Janaseva Sahakari Bank ltd,0.0,0,2,JNS,2,114808,
2021-04,Janata Sahakari Bank Ltd. Pune,0.0,0,5,JSB,5,842001,
2021-04,Jana Small Finance Bank Ltd,0.0,0,1,JSF,1,542805,
2021-04,Jivan Commercial Co-Operative Bank Ltd,0.22,2,2,JVN,0,921,
2021-04,The Kalupur Commercial Co-operative Bank Ltd,0.0,0,2,KLB,2,233404,
2021-04,Kerala Gramin Bank,0.0,0,6,KLG,6,1982536,
2021-04,Kotak Mahindra Bank,0.0,278,465,KMB,187,56407622,
2021-04,Karnataka Bank,0.0,0,16,KTB,16,17358510,
2021-04,Karur Vysya Bank,0.0,0,19,KVB,19,11600222,
2021-04,Karnataka Vikas Grameena Bank,0.0,0,32,KVG,32,1792984,
2021-04,Lakshmi Vilas Bank,0.0,1,4,LVB,3,2004986,
2021-04,Dakshin Bihar Gramin Bank,0.0,0,4,MBB,4,1094269,
2021-04,Mann Deshi Mahila Sahakari Bank. Ltd.,0.06,0,2,MDM,2,3209,
2021-04,Maharashtra Gramin Bank,0.0,0,16,MGB,16,2532448,
2021-04,GS Mahanagar Coop bank,0.0,0,1,MNB,1,328520,
2021-04,The Municipal Co-op Bank Ltd,0.02,14,14,MUN,0,82619,
2021-04,NKGSB Bank,0.0,0,1,NGB,1,376153,
2021-04,Nainital Bank,0.0,0,1,NTB,1,180242,
2021-04,The New Urban Co-operative Bank Ltd Rampur,0.07,0,1,NUR,1,1519,
2021-04,PASCHIM BANGA GRAMIN BANK,0.0,0,3,PBG,3,61918,
2021-04,Punjab Gramin Bank,0.0,0,1,PGB,1,217469,
2021-04,Pragathi Krishna Gramin Bank,0.0,0,3,PKB,3,3356137,
2021-04,Punjab National Bank,0.0,1,47,PNB,46,75067922,
2021-04,The Priyadarshini Nagari Sahakari Bank,0.02,2,9,PRY,7,54512,
2021-04,Punjab and Sind Bank,0.0,0,64,PSB,64,2653539,
2021-04,Paytm Payments Bank,0.0,809,7625,PTM,6816,430037221,
2021-04,Purvanchal Bank,0.0,0,1,PUR,1,1520147,
2021-04,Rajasthan Marudhara Gramin Bank,0.0,0,3,RMG,3,1920117,
2021-04,RBL,0.0,2,21,RNB,19,2354390,
2021-04,Sarva Haryana Gramin Bank,0.0,0,3,SBG,3,1781927,
2021-04,State Bank Of India,0.0,233,1998,SBI,1765,396295212,
2021-04,Standard Chartered,0.0,0,12,SCB,12,2495798,
2021-04,Samarth Sahakari Bank Ltd. Solapur,0.01,0,3,SDM,3,57964,
2021-04,Sandur Pattana Souharda Sahakari Bank,0.02,1,1,SDR,0,4796,
2021-04,South Indian Bank,0.0,3,12,SIB,9,7461600,
2021-04,Smriti Nagrik Sahakari Bank Maryadit Mandsaur,0.12,9,12,SNB,3,10102,
2021-04,Surat People Cooperative Bank,0.0,1,1,SPB,0,73113,
2021-04,Saraswat Bank,0.0,0,2,SRC,2,3109133,
2021-04,Suryoday Small Finance Bank Ltd.,0.0,0,5,SSF,5,244032,
2021-04,SUCO SOUHARDA SAHAKARI BANK LTD,0.0,1,1,SSK,0,200756,
2021-04,Sarva UP Gramin Bank,0.0,0,4,SUB,4,623006,
2021-04,Svc co-operative bank ltd,0.0,0,2,SVC,2,858008,
2021-04,Suvarnayug Sahakari Bank Ltd,0.0,0,1,SYG,1,112391,
2021-04,Telangana Grameena bank,0.0,0,2,TGB,2,1602686,
2021-04,Tamilnad Mercantile Bank,0.0,0,2,TMB,2,4310923,
2021-04,TJSB Sahakari Bank Ltd,0.0,2,15,TSB,13,1389069,
2021-04,UCO Bank,0.0,0,34,UCO,34,16733177,
2021-04,Ujjivan Small Finance Bank,0.0,0,3,UIJ,3,4071929,
2021-04,Uttarakhand Gramin Bank,0.0,0,1,UKG,1,407811,
2021-04,Union Bank of India,0.0,1,36,UOB,35,65681149,
2021-04,The Varachha Co-Op Bank Ltd,0.0,0,2,VAR,2,146924,
2021-04,Jharkhand Rajya Gramin Bank,0.0,10,11,VGB,1,396745,
2021-04,Vikas Souharda Co-operative Bank Ltd,0.01,0,6,VIK,6,47964,
2021-04,"The Vishweshwar Sahakari Bank Ltd., Pune (Multi-State)",0.0,0,1,VSI,1,137937,
2021-04,Yes Bank Ltd,0.0,261,1878,YBL,1617,359776883,
2021-05,A P Mahesh Bank,0.0,,,APM,,182818,
2021-05,ABHYUDAYA CO-OP. BANK LTD,0.001,,15,ACB,14,1035887,
2021-05,Adarsh Co-operative Bank Limited,0.0,,,AHB,,36655,
2021-05,Ahmednagar Merchant's Co Operative Bank Ltd,0.003,,2,AHM,2,57267,
2021-05,Airtel Payments Bank,0.002,17,436,ARL,367,27207362,
2021-05,Andhra Bank,0.0,,55,ANB,50,26283728,
2021-05,Andhra Pradesh Grameena Vikas Bank,0.0,,2,APV,2,4338257,
2021-05,Andhra Pragathi Grameena Bank,0.0,,2,AND,2,3055255,
2021-05,Apna Sahakari Bank Ltd.,0.0,,,APN,,511575,
2021-05,Assam Gramin Vikash Bank,0.001,,1,AMG,1,164045,
2021-05,Associate Co.op. Bank Ltd.,0.052,1,3,TAS,,5761,
2021-05,AU small Finance Bank,0.0,,18,AUS,12,3752201,
2021-05,Axis Bank Ltd.,0.008,2583,15672,AXB,7244,204814835,
2021-05,Banaskantha District Central Coop Bank,0.0,,,BKD,,53352,
2021-05,Bandhan Bank,0.0,1,24,BDN,23,7054420,
2021-05,Bank Of America,0.049,,1,BOA,1,2041,
2021-05,Bank of Baroda,0.0,34,155,BOB,78,82776822,
2021-05,Bank of India,0.0,,55,BOI,54,55335256,
2021-05,Bank of Maharashtra,0.001,16,100,BOM,81,17891682,
2021-05,Baroda Gujarat Gramin Bank,0.0,,,BGI,,198819,
2021-05,Baroda Rajasthan Kshetriya Gramin Bank,0.0,,2,BKG,2,1653492,
2021-05,Baroda UP Gramin Bank,0.001,,6,BUB,6,904676,
2021-05,Bassein Catholic Co-operative Bank,0.0,,1,BCC,,375574,
2021-05,Bhagini Nivedita Sahakari Bank,0.0,,,BNS,,56227,
2021-05,Bharat Co-Operative Bank (Mumbai) Ltd.,0.0,,,BHB,,575364,
2021-05,Bhilwara Urban Co-operative Bank Ltd,0.0,,,BWB,,3935,
2021-05,Canara Bank,0.0,,177,CNB,170,64515872,
2021-05,Capital Small Finance Bank Ltd,0.0,,,CPF,,72115,
2021-05,Central Bank Of India,0.0,,44,CBI,43,32061802,
2021-05,Chaitanya Godavari Grameena Bank,0.0,,,CGG,,798947,
2021-05,CHATISGARH R G BANK,0.001,,3,CHB,3,480488,
2021-05,Chhattisgarh Rajya Sahakari Bank Mydt,0.562,1,4,CGR,,712,
2021-05,CITI,0.005,4,302,CIT,253,6188550,
2021-05,Citibank,0.0,,,CTB,,2331581,
2021-05,Citizens Co-Operative Bank Ltd,0.0,,,CZS,,2254,
2021-05,City Union Bank,0.0,,4,CUB,4,5073065,
2021-05,Coastal Local Area Bank Ltd,0.0,,,CST,,122551,
2021-05,Cosmos Bank,0.0,,1,COB,1,1017299,
2021-05,CSB Bank Ltd,0.001,,5,CSB,5,895946,
2021-05,Dakshin Bihar Gramin Bank,0.002,,19,BHM,18,1094780,
2021-05,Darussalam Co-Operative Urban Bank Ltd.,0.0,,,DSM,,21310,
2021-05,DBS Bank India Limited,0.001,2,27,DBS,25,4969433,
2021-05,DCB Bank Ezetap,0.0,,,EZE,,6,
2021-05,DCB Bank Ltd,0.0,,2,DCB,1,808616,
2021-05,Dena Gujarat Gramin Bank,0.0,,,DGB,,15082,
2021-05,Deutsche Bank,0.0,,,DBA,,38808,
2021-05,Deutsche Bank Corp,0.086,,3,DEU,3,3478,
2021-05,Dhanlaxmi Bank Ltd,0.0,,2,DLB,2,694229,
2021-05,Dombivali Nagri Sahakari Bank,0.0,,,DSB,,478189,
2021-05,Equitas Bank,0.001,3,13,EQT,10,1979491,
2021-05,ESAF Small Finance Bank Ltd.,0.0,,4,EAF,4,1478325,
2021-05,Federal Bank,0.001,4,281,FBL,225,40969725,
2021-05,Fincare Small Finance Bank Ltd,0.0,,,FSF,,877193,
2021-05,Fingrowth Cooperative Bank Ltd,0.0,,,FNG,,7189,
2021-05,Fino Payments Bank,0.0,,11,FIN,10,3370609,
